Time,Well,RFUs,Well_Type,Energy_Solution,Lysate_Owner,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date,GFP_uM,Calibration_Model,Mini Growth Time,Midi OD600,Midi Growth Time,Maxi Growth Time,Total Culture Volume ,Harvest OD600,Cell Pellet Mass,S30A Volume Added,Freeze Speed,Thaw time,Pellet Mass : S30A Vol. Ratio,Total Resuspension Volume,Sonication Vessel Volume,Sonication Aliquot Volume,Pellet Mass : S30A Vol. Ratio at Sonication,Sonication Programme,Clarified S30 Extract Volume,S12 Extract Clarity,Lysate_Inventory_Record,RFUs_Baseline_Subtracted
28,C3,52,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
30,C3,54,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0857444599330745,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
32,C3,52,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
34,C3,48,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0794073278236601,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
36,C3,48,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0794073278236601,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
38,C3,49,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0804653403654069,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
40,C3,44,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0751679705045047,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
42,C3,43,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0741063026279552,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
44,C3,37,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0677209084916018,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
46,C3,35,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0655865736701847,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
48,C3,29,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0591659194827389,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
50,C3,43,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0741063026279552,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
52,C3,35,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0655865736701847,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
54,C3,36,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0666541083730921,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
56,C3,38,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0687869743774574,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
58,C3,42,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0730439026292139,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
60,C3,40,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0709169048581814,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
62,C3,40,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0709169048581814,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
64,C3,42,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0730439026292139,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
66,C3,44,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0751679705045047,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
68,C3,44,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0751679705045047,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
70,C3,42,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0730439026292139,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
72,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
74,C3,41,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0719807701565372,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
76,C3,46,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0772891112980035,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
78,C3,47,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0783485849184402,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
80,C3,48,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0794073278236601,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
82,C3,53,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0846900939325374,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
84,C3,44,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0751679705045047,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
86,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
88,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
90,C3,55,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0867980976806008,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
92,C3,42,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0730439026292139,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
94,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
96,C3,52,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
98,C3,57,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0889031898235959,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
100,C3,50,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0815226228954243,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
102,C3,50,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0815226228954243,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
104,C3,62,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0941532003754557,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
106,C3,52,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
108,C3,57,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0889031898235959,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
110,C3,64,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0962481240605665,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
112,C3,56,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.08785100752686,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
114,C3,60,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0920553749341008,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
116,C3,70,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.102515512717932,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
118,C3,65,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0972944986238896,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
